condition,time,trials,mean_fitted,observed_accuracy,mean_pearson_residual
Control,Pretest,300,0.4175023730605907,0.42,-3.9322370356766886e-4
Control,Post-test,300,0.5311098939724924,0.53,-0.0010821783908211025
Thematic,Pretest,300,0.42319616467831367,0.4266666666666667,0.0031935499188818855
Thematic,Post-test,300,0.660527254597402,0.6566666666666666,0.002782804596124279
Grounding,Pretest,300,0.42553994405184536,0.43,0.0034590625550642586
Grounding,Post-test,300,0.8360596779784644,0.83,-0.02002149688309516
