model_label,candidate_order,formula,fitted,convergence_ok,singular,warning_count,warnings,convergence_messages,error,AIC,BIC,selected
Primary target-item GLMM,1,correct ~ time * condition + (1 + time | participant_id) + (1 + time | item_id),TRUE,FALSE,TRUE,0,,boundary (singular) fit: see help('isSingular'),NA,2241.3034495169595,2307.2499528435706,FALSE
Primary target-item GLMM,2,correct ~ time * condition + (1 + time || participant_id) + (1 + time || item_id),TRUE,FALSE,TRUE,0,,boundary (singular) fit: see help('isSingular'),NA,2245.30344961719,2322.2410368315695,FALSE
Primary target-item GLMM,3,correct ~ time * condition + (1 + time || participant_id) + (1 | item_id),TRUE,FALSE,TRUE,0,,boundary (singular) fit: see help('isSingular'),NA,2243.2119386291324,2303.662900011859,FALSE
Primary target-item GLMM,4,correct ~ time * condition + (1 | participant_id) + (1 + time || item_id),TRUE,FALSE,TRUE,0,,boundary (singular) fit: see help('isSingular'),NA,2240.5155094148345,2300.966470797561,FALSE
Primary target-item GLMM,5,correct ~ time * condition + (1 | participant_id) + (1 | item_id),TRUE,TRUE,FALSE,0,,,NA,2237.980877947992,2281.945213499066,TRUE
