metric,value
Pearson chi-square,1674.58299450756
Residual degrees of freedom,1792
Pearson dispersion ratio,0.934477117470738
Approximate overdispersion p-value,0.976960445663764
Fixed-effect design matrix condition number,9.45297998405589
Minimum fitted probability,0.139901698332264
Maximum fitted probability,0.948911788595325
Maximum absolute Pearson residual,3.45600412654689
Singular fit,FALSE
