condition,term,estimate_log_odds,standard_error,z_value,p_value,conf_low_log_odds,conf_high_log_odds,odds_ratio,conf_low_odds_ratio,conf_high_odds_ratio
Control,(Intercept),0.39782741070586125,0.22346711861016702,1.780250325775496,0.07503500262022185,-0.040160093499006455,0.835814914910729,1.4885870935399441,0.9606356353210261,2.306693041127076
Control,timePost-test,0.827945450148334,0.18733627584124696,4.419568214593707,9.889830124649809e-6,0.460773096501629,1.195117803795039,2.2886118395233805,1.585299100555861,3.303946965068015
Thematic,(Intercept),0.04894450886098114,0.20820167840871337,0.2350822012342278,0.8141449329901518,-0.3591232823408876,0.4570123000628498,1.050162074433469,0.6982882594336387,1.5793483102134478
Thematic,timePost-test,0.8262427801654857,0.1799178618161633,4.59233325599281,4.383176910101842e-6,0.4736102508303515,1.17887530950062,2.2847184044000066,1.6057810132324564,3.2507160966465256
Grounding,(Intercept),-0.19421269919869721,0.20371784358217523,-0.9533416208598151,0.34041700992038926,-0.5934923356279247,0.20506693723053032,0.82348273152255,0.5523947642776698,1.2276072348415141
Grounding,timePost-test,0.9539943162893159,0.1785777126758617,5.342180174638708,9.183530653475465e-8,0.6039884310030852,1.3040002015755465,2.596058455951775,1.8294007075442924,3.68400399044644
