condition,time,predicted_probability,standard_error,conf_low,conf_high
Control,Pretest,0.4111016863271605,0.05108580829089145,0.31583218295067084,0.5135382818317995
Thematic,Pretest,0.418181820183528,0.05132942572482275,0.3221892813980721,0.5207993681482112
Grounding,Pretest,0.4225150516409118,0.051371212294700534,0.32626864326015664,0.5250279989430199
Control,Post-test,0.5334294829897086,0.05231554361642597,0.43092694376334784,0.6331851555874637
Thematic,Post-test,0.6729598661215047,0.04712070402060668,0.5749239765723602,0.757906462480189
Grounding,Post-test,0.8490740634712105,0.030098360458289238,0.7802312101545748,0.8991395268440122
