condition,contrast,odds.ratio,SE,df,asymp.LCL,asymp.UCL,null,z.ratio,p.value
Control,Post-test vs Pretest,2.2886119278991677,0.42873980620258834,Inf,1.5852994729674286,3.303946444086126,1,4.419570783543617,9.889712568140679e-6
Thematic,Post-test vs Pretest,2.284718441272193,0.41106018011586715,Inf,1.6057830733364087,3.2507120311360214,1,4.592349843159645,4.382828441522754e-6
Grounding,Post-test vs Pretest,2.5960585266826643,0.4635996477322945,Inf,1.8293987490994583,3.684008135065889,1,5.3421635716399285,9.184372058008763e-8
