excluded_item_id,excluded_item_number,excluded_word,singular,contrast,scale,estimate,standard_error,conf_low,conf_high,z_ratio,p_value,p_value_holm
target_01,1,reconsider,FALSE,Grounding vs Thematic,log_odds,1.029645153538414,0.2833717118121334,0.4742468041491692,1.5850435029276586,3.633549541533054,2.7954874109288087e-4,5.590974821857617e-4
target_01,1,reconsider,FALSE,Grounding vs Control,log_odds,1.6364368145861152,0.2813995036608076,1.0849039221434853,2.187969707028745,5.815350749724981,6.050687871328772e-9,1.8152063613986317e-8
target_01,1,reconsider,FALSE,Thematic vs Control,log_odds,0.6067916610477012,0.26156081141791365,0.09414189090151759,1.1194414311938847,2.319887515864097,0.020346963095682156,0.020346963095682156
target_01,1,reconsider,FALSE,Grounding vs Thematic,probability,0.17928952842800816,0.06017578037426308,0.061347166152860344,0.297231890703156,2.9794300516406684,0.0028878515571392482,0.0057757031142784965
target_01,1,reconsider,FALSE,Grounding vs Control,probability,0.3255269554405146,0.062064102908793745,0.20388354900649125,0.4471703618745379,5.245011853613553,1.5627227986834752e-7,4.688168396050426e-7
target_01,1,reconsider,FALSE,Thematic vs Control,probability,0.14623742701250642,0.06229836121179494,0.024134882741521285,0.2683399712834915,2.347371972038637,0.018906369434916637,0.018906369434916637
target_02,2,avoidable,FALSE,Grounding vs Thematic,log_odds,1.0642380443767796,0.2852972156357333,0.5050657768411849,1.6234103119123744,3.7302784116042544,1.9126829796088201e-4,3.8253659592176403e-4
target_02,2,avoidable,FALSE,Grounding vs Control,log_odds,1.5841977807294907,0.28292639824637617,1.029672229890957,2.1387233315680243,5.599328272471591,2.1518397657879623e-8,6.455519297363888e-8
target_02,2,avoidable,FALSE,Thematic vs Control,log_odds,0.519959736352711,0.26237984687853533,0.005704686201647768,1.034214786503774,1.9817060743747528,0.04751214696686341,0.04751214696686341
target_02,2,avoidable,FALSE,Grounding vs Thematic,probability,0.18317276075960387,0.060806325338965524,0.06399455306300618,0.3023509684562016,3.0123964857028493,0.0025919381792523966,0.005183876358504793
target_02,2,avoidable,FALSE,Grounding vs Control,probability,0.3066926896748161,0.06301941849113162,0.18317689910554066,0.43020848024409153,4.8666378874628196,1.1351273552937095e-6,3.4053820658811287e-6
target_02,2,avoidable,FALSE,Thematic vs Control,probability,0.12351992891521224,0.06261113622261882,8.043568877481727e-4,0.24623550094267632,1.972810850709168,0.04851711646583123,0.04851711646583123
target_03,3,uncertain,FALSE,Grounding vs Thematic,log_odds,0.9806431286363031,0.2802787439840006,0.4313068847955397,1.5299793724770665,3.498813769096532,4.673328678668531e-4,9.346657357337062e-4
target_03,3,uncertain,FALSE,Grounding vs Control,log_odds,1.5351145416523824,0.2783055292385614,0.9896457276464432,2.0805833556583213,5.515932600593407,3.469352104756219e-8,1.0408056314268658e-7
target_03,3,uncertain,FALSE,Thematic vs Control,log_odds,0.5544714130160793,0.2606057219871721,0.043693583756164056,1.0652492422759945,2.1276256284325648,0.033368135597523205,0.033368135597523205
