term,estimate_log_odds,standard_error,z_value,p_value,conf_low_log_odds,conf_high_log_odds,odds_ratio,conf_low_odds_ratio,conf_high_odds_ratio
(Intercept),-0.35941293054286927,0.21101372316198172,-1.7032680394296962,0.08851791883061698,-0.7729922281840588,0.054166367098320234,0.6980860307838251,0.4616296982702112,1.0556602146733298
timePost-test,0.4933306437305685,0.17360650356892623,2.8416599239596088,0.004487933646855669,0.15306814925354884,0.8335931382075882,1.6377619475947833,1.1654043976763275,2.3015737733078416
conditionThematic,0.02917125189942855,0.22326348099590662,0.13065841206678752,0.8960455325923746,-0.40841712991559115,0.46675963371444823,1.029600900488192,0.6647015540830525,1.5948180168594015
conditionGrounding,0.046955623282301455,0.22287722363468226,0.21067932611753254,0.8331375078938943,-0.389875708015955,0.4837869545805579,1.0480754978971596,0.6771410324703797,1.6222060052762037
timePost-test:conditionThematic,0.5585138315479509,0.24861343970710065,2.246515040401491,0.024671037261300478,0.07124044364941351,1.0457872194464883,1.7480726384511434,1.0738393926922898,2.845637783542528
timePost-test:conditionGrounding,1.5464838522400417,0.26641061245116543,5.804888318867256,6.440892078266041e-9,1.0243286467364996,2.068639057743584,4.694933047804618,2.785224962885329,7.914045226900931
