model,npar,AIC,BIC,logLik,-2*log(L),Chisq,Df,Pr(>Chisq)
reduced_model,6,2269.2176977560434,2302.190949419349,-1128.6088488780217,2257.2176977560434,NA,NA,NA
primary_model,8,2237.980877947992,2281.945213499066,-1110.990438973996,2221.980877947992,35.23681980805122,2,2.230600518276523e-8
