scale,contrast,requested_repetitions,successful_repetitions,failed_repetitions,singular_repetitions,mean_estimate,median_estimate,conf_low_percentile,conf_high_percentile,proportion_above_zero
log_odds,Grounding vs Control,1000,1000,0,2,1.6616157215564593,1.6504523411840875,0.9241245790104167,2.438153985175991,1
log_odds,Grounding vs Thematic,1000,1000,0,2,1.0375161693435102,1.0088552682175718,0.3339986003896818,1.7999013818050744,0.997
log_odds,Thematic vs Control,1000,1000,0,2,0.624099552212949,0.6202647718950608,0.018541553583191074,1.2233326487500948,0.981
probability,Grounding vs Control,1000,1000,0,2,0.3107728201085682,0.312276471844471,0.15682972668307213,0.4661599520405774,1
probability,Grounding vs Thematic,1000,1000,0,2,0.1666177636338399,0.16552837149956973,0.03125916586618915,0.31290401098835424,0.989
probability,Thematic vs Control,1000,1000,0,2,0.14415505647472832,0.14411429327121,0.002998925746712476,0.2783590814878996,0.977
