excluded_case_index,fit_succeeded,singular,contrast,scale,estimate,standard_error,conf_low,conf_high,z_ratio,p_value,p_value_holm,full_estimate,change_from_full_estimate
1,TRUE,FALSE,Grounding vs Control,log_odds,1.5441148098356408,0.2680316555490563,1.018782418242845,2.0694472014284364,5.760941955428956,8.36458039985613e-9,2.5093741199568387e-8,1.546483993463893,-0.002369183628252225
1,TRUE,FALSE,Grounding vs Thematic,log_odds,0.9869384826002983,0.26859584205164333,0.4605003057818685,1.5133766594187281,3.674436934919261,2.383745108103921e-4,4.767490216207842e-4,0.987969539535548,-0.0010310569352497412
1,TRUE,FALSE,Thematic vs Control,log_odds,0.5571763272353425,0.2503667142939978,0.06646658429147734,1.0478860701792077,2.225440904980155,0.026051654106804805,0.026051654106804805,0.5585144539283451,-0.0013381266930025948
1,TRUE,FALSE,Grounding vs Control,probability,0.3037110615373787,0.05999830901385688,0.18611653673691436,0.42130558633784304,5.06199368830937,4.1489476404039887e-7,1.2446842921211965e-6,0.3042312530924953,-5.201915551166225e-4
1,TRUE,FALSE,Grounding vs Thematic,probability,0.17176037287195756,0.05749323725805573,0.059075698491551976,0.28444504725236314,2.9874882866835115,0.002812800732068079,0.005625601464136158,0.17178085615984195,-2.048328788439857e-5
1,TRUE,FALSE,Thematic vs Control,probability,0.13195068866542103,0.059941844451672666,0.014466832373240576,0.24943454495760148,2.201311785989578,0.02771395907369857,0.02771395907369857,0.13245039693265348,-4.99708267232446e-4
2,TRUE,FALSE,Grounding vs Control,log_odds,1.528051904572884,0.26785108186305273,1.003073430901211,2.053030378244557,5.7048561982443236,1.1644135081563387e-8,3.493240524469016e-8,1.546483993463893,-0.018432088891009002
2,TRUE,FALSE,Grounding vs Thematic,log_odds,0.9864179292660269,0.26844474621214015,0.4602758948512372,1.5125599636808165,3.6745659700358,2.3825408088383563e-4,4.7650816176767125e-4,0.987969539535548,-0.0015516102695211087
2,TRUE,FALSE,Thematic vs Control,log_odds,0.5416339753068571,0.250182911619919,0.051284478984448545,1.0319834716292657,2.164951921775194,0.030391367351120285,0.030391367351120285,0.5585144539283451,-0.016880478621488004
2,TRUE,FALSE,Grounding vs Control,probability,0.2999008496059352,0.05989806969311752,0.18250279026395477,0.41729890894791566,5.006853328370193,5.53270533157194e-7,1.6598115994715818e-6,0.3042312530924953,-0.004330403486560108
2,TRUE,FALSE,Grounding vs Thematic,probability,0.17178291069125184,0.05744015535467676,0.059202274929699886,0.2843635464528038,2.9906414707714633,0.0027839214182885843,0.005567842836577169,0.17178085615984195,2.0545314098896483e-6
2,TRUE,FALSE,Thematic vs Control,probability,0.12811793891468337,0.059878356370950785,0.010758516974165369,0.2454773608552014,2.139636868470193,0.03238412466299418,0.03238412466299418,0.13245039693265348,-0.004332458017970109
3,TRUE,FALSE,Grounding vs Control,log_odds,1.5651790572367403,0.2688413030954474,1.038259785612847,2.092098328860634,5.821944170092982,5.816698169304602e-9,1.7450094507913805e-8,1.546483993463893,0.018695063772847353
3,TRUE,FALSE,Grounding vs Thematic,log_odds,0.9906434775133964,0.26928143010386274,0.46286157280438567,1.5184253822224072,3.6788406728651952,2.34296573467538e-4,4.68593146935076e-4,0.987969539535548,0.0026739379778484285
3,TRUE,FALSE,Thematic vs Control,log_odds,0.5745355797233439,0.25117154968488187,0.08224838839986282,1.066822771046825,2.2874230001134777,0.022171145076126022,0.022171145076126022,0.5585144539283451,0.016021125794998814
3,TRUE,FALSE,Grounding vs Control,probability,0.3080568736996854,0.060473144400351425,0.18953168864310654,0.4265820587562642,5.094110398167011,3.503825618622047e-7,1.051147685586614e-6,0.3042312530924953,0.00382562060719005
3,TRUE,FALSE,Grounding vs Thematic,probability,0.17182531338481377,0.05777909818541436,0.05858036188219806,0.2850702648874295,2.9738316931396658,0.002941063451301095,0.00588212690260219,0.17178085615984195,4.44572249718167e-5
3,TRUE,FALSE,Thematic vs Control,probability,0.1362315603148717,0.06013188221547119,0.01837523684994362,0.2540878837797998,2.2655462509341016,0.02347917916227835,0.02347917916227835,0.13245039693265348,0.0037811633822182333
4,TRUE,FALSE,Grounding vs Control,log_odds,1.5087754758406535,0.26771250140815134,0.9840686148695486,2.0334823368117583,5.635805081587849,1.7424237511066964e-8,5.2272712533200896e-8,1.546483993463893,-0.03770851762323946
4,TRUE,FALSE,Grounding vs Thematic,log_odds,0.9852070533710731,0.2680991846549804,0.4597423071627581,1.510671799579388,3.674785712753831,2.3804912390857597e-4,4.7609824781715194e-4,0.987969539535548,-0.002762486164474942
4,TRUE,FALSE,Thematic vs Control,log_odds,0.5235684224695805,0.2500355678263752,0.033507714675863276,1.0136291302632976,2.093975777210811,0.03626213809485192,0.03626213809485192,0.5585144539283451,-0.034946031458764626
4,TRUE,FALSE,Grounding vs Control,probability,0.2963415788991758,0.059873932938406864,0.1789908267271319,0.41369233107121967,4.949425640771359,7.443280797872012e-7,2.2329842393616036e-6,0.3042312530924953,-0.00788967419331954
4,TRUE,FALSE,Grounding vs Thematic,probability,0.17183290575552457,0.05732025883367561,0.05948726285700652,0.28417854865404263,2.9977691875768864,0.0027196356052179224,0.005439271210435845,0.17178085615984195,5.2049595682612804e-5
4,TRUE,FALSE,Thematic vs Control,probability,0.12450867314365122,0.05971309503580318,0.007473157468059516,0.24154418881924292,2.0851150500404887,0.03705885845777202,0.03705885845777202,0.13245039693265348,-0.007941723789002264
5,TRUE,FALSE,Grounding vs Control,log_odds,1.5418028887053892,0.26819754363352805,1.0161453624415646,2.0674604149692137,5.748758425663092,8.990115714824323e-9,2.6970347144472968e-8,1.546483993463893,-0.004681104758503807
5,TRUE,FALSE,Grounding vs Thematic,log_odds,0.9864852221474127,0.26858350583994456,0.4600712238596183,1.5128992204352072,3.672918108140577,2.3979634830020445e-4,4.795926966004089e-4,0.987969539535548,-0.001484317388135259
5,TRUE,FALSE,Thematic vs Control,log_odds,0.5553176665579764,0.25053728542316656,0.0642736103441382,1.0463617227718147,2.2165070784575027,0.026656793645475258,0.026656793645475258,0.5585144539283451,-0.003196787370368659
5,TRUE,FALSE,Grounding vs Control,probability,0.3036324141358454,0.06003853544675478,0.18595904697567467,0.42130578129601615,5.057292152056608,4.2525150843637014e-7,1.2757545253091105e-6,0.3042312530924953,-5.988389566499164e-4
5,TRUE,FALSE,Grounding vs Thematic,probability,0.1717267041549525,0.05747064452878229,0.05908631071023533,0.28436709759966966,2.988076879300506,0.0028073892626224056,0.005614778525244811,0.17178085615984195,-5.415200488945171e-5
5,TRUE,FALSE,Thematic vs Control,probability,0.1319057099808929,0.05991857647813825,0.014467458078833123,0.24934396188295269,2.2014159503442094,0.027706590846061946,0.027706590846061946,0.13245039693265348,-5.446869517605757e-4
6,TRUE,FALSE,Grounding vs Control,log_odds,1.512261589324317,0.26842685088965246,0.986154629097095,2.038368549551539,5.633794027356795,1.762875545854505e-8,5.288626637563516e-8,1.546483993463893,-0.034222404139576
6,TRUE,FALSE,Grounding vs Thematic,log_odds,0.9874530175578922,0.2687417912301094,0.46072878560609576,1.5141772495096886,3.674356016747646,2.3845006178705583e-4,4.7690012357411165e-4,0.987969539535548,-5.165219776558372e-4
6,TRUE,FALSE,Thematic vs Control,log_odds,0.5248085717664248,0.25079525031567174,0.03325891365400069,1.016358229878849,2.092577794459254,0.03638686051839825,0.03638686051839825,0.5585144539283451,-0.033705882161920275
6,TRUE,FALSE,Grounding vs Control,probability,0.2961604801898182,0.06013356337656262,0.17830086170969872,0.4140200986699377,4.925044576773715,8.434112513805519e-7,2.5302337541416554e-6,0.3042312530924953,-0.008070772902677104
6,TRUE,FALSE,Grounding vs Thematic,probability,0.1717487879929025,0.05754235332196856,0.05896784789616541,0.2845297280896396,2.9847369472692757,0.0028382228605696056,0.005676445721139211,0.17178085615984195,-3.2068166939458465e-5
6,TRUE,FALSE,Thematic vs Control,probability,0.12441169219691561,0.059925061471158315,0.006960729942096511,0.24186265445173472,2.076121227790387,0.03788274032211731,0.03788274032211731,0.13245039693265348,-0.008038704735737867
7,TRUE,FALSE,Grounding vs Control,log_odds,1.5264682061410397,0.268183604060394,1.0008380009385178,2.052098411343562,5.691877441535481,1.2565003423207437e-8,3.769501026962231e-8,1.546483993463893,-0.02001578732285325
7,TRUE,FALSE,Grounding vs Thematic,log_odds,0.9865934532838432,0.26854961792359855,0.460245874091598,1.5129410324760884,3.673784609757016,2.3898420793507858e-4,4.7796841587015716e-4,0.987969539535548,-0.0013760862517048222
7,TRUE,FALSE,Thematic vs Control,log_odds,0.5398747528571965,0.2505346597755251,0.048835842818171715,1.0309136628962214,2.1548904783909557,0.031170405661059823,0.031170405661059823,0.5585144539283451,-0.01863970107114854
7,TRUE,FALSE,Grounding vs Control,probability,0.29995047304083766,0.060039139752145955,0.18227592146386457,0.41762502461781076,4.995915569062041,5.855727759125914e-7,1.756718327737774e-6,0.3042312530924953,-0.004280780051657662
7,TRUE,FALSE,Grounding vs Thematic,probability,0.17175470880457466,0.05746617621084476,0.05912307310208653,0.2843863445070628,2.9887965431074197,0.0028007856557327867,0.0056015713114655735,0.17178085615984195,-2.614735526729195e-5
7,TRUE,FALSE,Thematic vs Control,probability,0.128195764236263,0.05988250315540938,0.010828214747554493,0.2455633137249715,2.140788335176377,0.03229111106847742,0.03229111106847742,0.13245039693265348,-0.004254632696390481
8,TRUE,FALSE,Grounding vs Control,log_odds,1.5277463320362539,0.2683315290515684,1.0018261991786168,2.053666464893891,5.693502874731688,1.2445911973135036e-8,3.733773591940511e-8,1.546483993463893,-0.018737661427639107
8,TRUE,FALSE,Grounding vs Thematic,log_odds,0.9870222892548781,0.2687400692368708,0.46030143234781085,1.5137431461619455,3.672776791558033,2.3992904451038146e-4,4.7985808902076293e-4,0.987969539535548,-9.472502806698868e-4
8,TRUE,FALSE,Thematic vs Control,log_odds,0.5407240427813758,0.2507015240824846,0.04935808471040509,1.0320900008523464,2.156843859487146,0.031017832435588758,0.031017832435588758,0.5585144539283451,-0.01779041114696933
