contrast,difference_in_probability_change,standard_error,degrees_freedom,conf_low,conf_high,z_ratio,p_value_holm
Grounding vs Thematic,0.17178085615984195,0.05757131756863774,Inf,0.05894314718279395,0.28461856513689,2.9837923364363026,0.005693998484978836
Grounding vs Control,0.3042312530924953,0.059638182815449366,Inf,0.18734256267079902,0.42111994351419163,5.101283082919216,1.0120755701223845e-6
Thematic vs Control,0.13245039693265348,0.05946447189364243,Inf,0.015902173661420035,0.2489986202038869,2.2273870887065637,0.025921414575989593
