condition,participants,pearson_correlation,pearson_conf_low,pearson_conf_high,pearson_p_value,spearman_correlation,spearman_p_value
All conditions,90,0.4911784787673634,0.31625657063609497,0.6338002563651858,8.858325239790083e-7,0.4798376506258047,1.7061699249270503e-6
Control,30,0.757460069124684,0.5462593016866758,0.8781039105082442,1.2597664551068377e-6,0.7370267627154781,3.4008510723243834e-6
Thematic,30,0.6272304490457049,0.3448985909159823,0.8054831689313557,2.0767680070923148e-4,0.6475360922357974,1.0971584534729943e-4
Grounding,30,0.4431123406171167,0.0985804800805047,0.6927854716914496,0.01419124733150146,0.4510989780380048,0.01235028615474989
