contrast,estimate_log_odds,standard_error,degrees_freedom,conf_low_log_odds,conf_high_log_odds,z_ratio,p_value_holm,ratio_of_odds_ratios,conf_low_ratio_of_odds_ratios,conf_high_ratio_of_odds_ratios
Grounding vs Thematic,0.9879700206920908,0.2688079656315715,Inf,0.4611160892967302,1.5148239520874514,3.6753747917061492,4.7500099589878293e-4,2.6857768633484826,1.5858429399866036,4.548620281248626
Grounding vs Control,1.5464838522400417,0.26641061245116543,Inf,1.0243286467364996,2.068639057743584,5.804888318867256,1.9322676234798125e-8,4.694933047804618,2.785224962885329,7.914045226900931
Thematic vs Control,0.5585138315479509,0.24861343970710065,Inf,0.07124044364941351,1.0457872194464883,2.246515040401491,0.024671037261300478,1.7480726384511434,1.0738393926922898,2.845637783542528
