contrast,odds.ratio,SE,df,asymp.LCL,asymp.UCL,null,z.ratio,p_value_holm
Grounding vs Thematic,2.6081241344105615,0.5199120521274646,Inf,1.7646027013793955,3.8548685747661224,1,4.808946559460393,3.0345551745705567e-6
Grounding vs Control,4.450994641639602,0.8740776720191789,Inf,3.029003447995612,6.5405515840578685,1,7.6033321729958345,8.658043483074975e-14
Thematic vs Control,1.7065884951237302,0.2936302085652381,Inf,1.218074280826033,2.3910235504797077,1,3.106510459898913,0.0018930961100475194
