condition,time,posterior_mean,posterior_median,conf_low,conf_high
Control,Pretest,0.41045459093720893,0.40847893910740507,0.30537341349877234,0.524980238747162
Control,Post-test,0.5378786613527852,0.537474970345592,0.4290924059993962,0.6515326513294324
Thematic,Pretest,0.4205014484762947,0.4191791957371569,0.312877415926394,0.5379821150603357
Thematic,Post-test,0.6725879911050768,0.6734826301033265,0.573565735086726,0.7665360465970469
Grounding,Pretest,0.4261033865748991,0.4259211562468528,0.31676227397121953,0.5430621818756717
Grounding,Post-test,0.845591722128023,0.8480628153550951,0.7734127227931195,0.9038864685531581
