condition,prob,SE,df,asymp.LCL,asymp.UCL
Control,0.5364842525405626,0.0296435104548048,Inf,0.47815191596357365,0.5938349273385077
Thematic,0.663893393914919,0.027829975596965977,Inf,0.6073641031056425,0.7160883898540679
Grounding,0.8374429923621198,0.02136559703384191,Inf,0.7911238792539932,0.8751121219395122
