scale,contrast,fits,minimum_estimate,maximum_estimate,minimum_conf_low,maximum_conf_high,maximum_holm_p,estimates_favor_first,holm_significant,singular_fits
log_odds,Grounding vs Control,10,1.441692596755938,1.6666852462637785,0.8944423233031823,2.2286626679923645,7.275586316189098e-7,10,10,0
log_odds,Grounding vs Thematic,10,0.8575340793305881,1.0642380443767796,0.30376762796999157,1.6234103119123744,0.004809137504860836,10,10,0
log_odds,Thematic vs Control,10,0.48054684461737235,0.6160830916798354,-0.029044803225607263,1.1372560769191793,0.06456569005355926,10,9,0
probability,Grounding vs Control,10,0.28052411215628614,0.3255269554405146,0.15883747397044684,0.4489184385142775,1.870113108341993e-5,10,10,0
probability,Grounding vs Thematic,10,0.14889936083764344,0.1844136155594791,0.029647449435639475,0.3027550215207667,0.028791433394761378,10,10,0
probability,Thematic vs Control,10,0.11292794117835459,0.14623742701250642,-0.009525429898429999,0.2702618229082781,0.07068406294559744,10,8,0
