term,estimate_log_odds,standard_error,z_value,p_value,conf_low_log_odds,conf_high_log_odds,odds_ratio,conf_low_odds_ratio,conf_high_odds_ratio
(Intercept),-1.2089600551909916,0.18016514922602916,-6.710288090591098,1.942405386437259e-11,-1.562077258943293,-0.8558428514386901,0.2985075494465748,0.20970001722286508,0.42492489155066887
pre_correctPretest correct,4.042172699677744,0.4285925498020596,9.431271499106959,4.051474763291334e-21,3.202146738023518,4.88219866133197,56.949943607258206,24.58525168185739,131.92039352858325
conditionThematic,1.0223741725988063,0.2364629375688669,4.323612753482995,1.5349463158313017e-5,0.5589153312852839,1.4858330139123286,2.7797866290003657,1.748774630071616,4.41864467261443
conditionGrounding,2.1790939241085643,0.24859866285732082,8.765509432201652,1.8593396334364813e-18,1.6918494983034003,2.6663383499137283,8.838294464086704,5.429513300274677,14.387191763570012
pre_correctPretest correct:conditionThematic,-1.2736877479159996,0.5715043976663298,-2.2286578250612803,0.025836680426832723,-2.393815784348263,-0.1535597114837366,0.2797978927878998,0.09128071098999631,0.8576495511426145
pre_correctPretest correct:conditionGrounding,-1.5702872799387004,0.6863459880417193,-2.2878946002424234,0.022143659847055668,-2.9155006974340285,-0.22507386244337235,0.2079854237339238,0.05417689800700634,0.79845724057855
