contrast,posterior_mean,posterior_median,conf_low,conf_high,posterior_probability_above_zero,posterior_probability_above_0_10,posterior_probability_grounding_gt_thematic_gt_control,posterior_draws
Grounding vs Control,0.2920642651375478,0.29094015961179853,0.17415870023056598,0.40920874336734825,1,0.9995,0.97975,4000
Grounding vs Thematic,0.1674017929243419,0.1668194686152413,0.054550045636652465,0.286030357538876,0.99775,0.8795,0.97975,4000
Thematic vs Control,0.1246624722132059,0.12539185476610004,0.010374786763377452,0.2405383044230456,0.982,0.66875,0.97975,4000
