scope,condition,time,participants,items,kr20,bootstrap_conf_low,bootstrap_conf_high,valid_bootstrap_repetitions,requested_bootstrap_repetitions
overall,All conditions,Pretest,90,10,0.3895370792115828,0.17347747103714112,0.5433323943115765,2000,2000
overall,All conditions,Post-test,90,10,0.4630342237837642,0.26487774521190915,0.5876511694838696,2000,2000
condition,Control,Pretest,30,10,0.4738745479486221,0.012149657680787677,0.675984119557303,2000,2000
condition,Control,Post-test,30,10,0.0389324317401776,-0.7407551073183334,0.4085738041677204,2000,2000
condition,Thematic,Pretest,30,10,0.36503781268179153,-0.15790859460723422,0.6132047451985939,2000,2000
condition,Thematic,Post-test,30,10,0.35908554908897267,-0.08458111736585391,0.5795701635395862,2000,2000
condition,Grounding,Pretest,30,10,0.31383408330448836,-0.1086257934248539,0.5254313691611011,2000,2000
condition,Grounding,Post-test,30,10,-0.6337135614702157,-1.8648286877685556,-0.05725315781663293,2000,2000
