condition,time,participants,trials,accuracy,correct,standard_error
Control,Pretest,30,300,0.59,177,0.028396009109262755
Control,Post-test,30,300,0.7533333333333333,226,0.024887896805624365
Thematic,Pretest,30,300,0.51,153,0.028861739379323625
Thematic,Post-test,30,300,0.6866666666666666,206,0.026780313388479703
Grounding,Pretest,30,300,0.45666666666666667,137,0.02875889556422628
Grounding,Post-test,30,300,0.6666666666666666,200,0.02721655269759087
