pre_correct,contrast,scale,estimate,standard_error,conf_low,conf_high,z_ratio,p_value,p_value_holm
Pretest incorrect,Grounding vs Thematic,log_odds,1.156719751509758,0.22978071062687408,0.7063578343390648,1.6070816686804512,5.034015903049755,4.803097998498071e-7,9.606195996996143e-7
Pretest incorrect,Grounding vs Control,log_odds,2.1790939241085643,0.24859866285732082,1.6918494983034003,2.6663383499137283,8.765509432201652,1.8593396334364813e-18,5.578018900309444e-18
Pretest incorrect,Thematic vs Control,log_odds,1.0223741725988063,0.2364629375688669,0.5589153312852839,1.4858330139123286,4.323612753482995,1.5349463158313017e-5,1.5349463158313017e-5
Pretest correct,Grounding vs Thematic,log_odds,0.860120219487057,0.6144257264481804,-0.3441320755262356,2.0643725145003495,1.3998766367729527,0.16155026338438436,0.48465079015315304
Pretest correct,Grounding vs Control,log_odds,0.6088066441698639,0.6397421843984386,-0.6450649966420574,1.8626782849817851,0.9516437387075484,0.34127769135757335,0.6825553827151467
Pretest correct,Thematic vs Control,log_odds,-0.25131357531719334,0.5203105376403443,-1.2711034898689402,0.7684763392345535,-0.4830068913401664,0.6290908431114716,0.6825553827151467
Pretest incorrect,Grounding vs Thematic,probability,0.2716577897183569,0.05105302759062495,0.17159569433900235,0.3717198850977115,5.321090688228692,1.0314696436458615e-7,2.062939287291723e-7
Pretest incorrect,Grounding vs Control,probability,0.49526107097391103,0.046721897621373985,0.40368783434665045,0.5868343076011716,10.60019169142956,2.973700740642179e-26,8.921102221926536e-26
Pretest incorrect,Thematic vs Control,probability,0.22360328125555415,0.04957919743972333,0.12642983989129597,0.3207767226198123,4.510022202908856,6.482084103224434e-6,6.482084103224434e-6
Pretest correct,Grounding vs Thematic,probability,0.039304735405017,0.027268638321861518,-0.014140813613280304,0.0927502844233143,1.4413897364836892,0.14947460820750494,0.44842382462251484
Pretest correct,Grounding vs Control,probability,0.024547837693563834,0.025481770787275218,-0.02539551531180044,0.07449119069892811,0.9633489720354222,0.3353724249048961,0.6707448498097922
Pretest correct,Thematic vs Control,probability,-0.014756897711453165,0.030445713336469258,-0.0744293993345637,0.04491560391165737,-0.48469541667058536,0.6278924181659968,0.6707448498097922
