scale,contrast,attempted_fits,successful_fits,singular_fits,full_estimate,minimum_leave_one_out_estimate,maximum_leave_one_out_estimate,maximum_absolute_change,maximum_holm_p,estimates_favor_first,holm_significant
log_odds,Grounding vs Control,90,90,0,1.546483993463893,1.4956909924087738,1.6133945464700088,0.06691055300611581,7.692600486711414e-8,90,90
log_odds,Grounding vs Thematic,90,90,0,0.987969539535548,0.9359793594408609,1.0532366851132358,0.06526714557768776,0.0011041801384190364,90,90
log_odds,Thematic vs Control,90,90,0,0.5585144539283451,0.49981646104274696,0.6208825232491081,0.062368069320763,0.04602133663179903,90,90
probability,Grounding vs Control,90,90,0,0.3042312530924953,0.2923354638021858,0.31950718110884413,0.015275928016348805,3.5583495014228988e-6,90,90
probability,Grounding vs Thematic,90,90,0,0.17178085615984195,0.1597962162176827,0.18553110530430794,0.013750249144465987,0.011808174682859498,90,90
probability,Thematic vs Control,90,90,0,0.13245039693265348,0.11866141077341574,0.14763737314696534,0.015186976214311865,0.04827505912073388,90,90
